# https://explorer.zel.cash/ and whois results
# Zel
IP Address|ASN|BGP Prefix|CC|Registry|Allocated|AS Name|Payment Address|Publice Key
100.34.95.83|701|100.34.0.0/16|US|arin|2010-12-28|UUNET, US|t1J1NSHuUG3yn8ZE55qqbzUA2v71V4uc7Zt|04dbd5b0f9a9c375af738f5d71a36eac1b2671bcfc692d6fe06e63ec419180d8ede0fe959d6503146d3ebad3f5b1c434c2844cad5f4fa4ed6b3042f666b0375725
103.214.4.34|207083|103.214.4.0/22|NL|apnic|2016-04-06|HOSTSLIM-GLOBAL-NETWORK, NL|t1QEmygZpGj9eJVGkQYYNVwXk1HWbagvYQD|04fdf9b8dea355e66cd9a97823dc85db9f4c4474ce8b4cd143564f7432d0af81c21c96dd74ee7fb18b5fc9b8729575a2563f354d6723227196a569ae76d20f128f
103.214.5.84|207083|103.214.4.0/22|NL|apnic|2016-04-06|HOSTSLIM-GLOBAL-NETWORK, NL|t1K6ESBfC7iWpxnEZq5VLjJh7mFgN5325WW|047b6aea1f8a78db6b2540429a7d13cef603fa05ef1d5becdd5fc0fbe1a23794f31be44250991bbafa566b9663462f23b40f4482ac754f31a9226d7ff297463f3d
103.214.5.89|207083|103.214.4.0/22|NL|apnic|2016-04-06|HOSTSLIM-GLOBAL-NETWORK, NL|t1TADfE4KQwoFab5E2BnPcrpV2DxG9kSf7r|0457465bbec9574f92193e3d1fe6e99bd1e40799244850b088b2ffa78936ecf6886db5ae28b8ad2fc2809a2617bf57874d04505ce28037ac1b271084b4f570b5f1
103.214.6.26|207083|103.214.4.0/22|NL|apnic|2016-04-06|HOSTSLIM-GLOBAL-NETWORK, NL|t1VEZcM7GXZ3i4H937T137Xi2NLKBL8MwEE|040219f739ec6953004c01b109f4f342663959ef30ce42f147d0e11dc93701560f086cfa764fd21672fb3220d62a1ff016cdd18943f0e54d9de1eb94ae5070c75c
103.4.75.67|56017|103.4.75.0/24|PF|apnic|2011-06-02|VITI-AS-PF VITI, PF|t1ckk4kxaruQkJCwg6wvWkb7fCnRZgyvA3Y|048be7d5c821a9d39d29eb830b61f750dd15e293dad9eb8cff1fc270543c6d1734aecc5d17b3c98fd20de13e9812036e9616bfdcfcb88de97196c1f7fa44bd62ee
104.156.237.121|20473|104.156.236.0/23|US|arin|2014-07-22|AS-CHOOPA, US|t1TDmqi776YzTsTne84QZrWxj7yzJ8uo4k9|042810985fdd19a03372d1582d0c51696a08e081335033e73134481a708e244a949bb96b18ab908248202871053ac144fde20058a83a284f8d04941f12e6f06c63
104.156.239.110|20473|104.156.238.0/23|US|arin|2014-07-22|AS-CHOOPA, US|t1dYMtSgHxnzMV1mDK4fMvoW9TMRN417Xnu|0473daa2b9bd9a6005be1ac3981e73c8ddb0e715cc70bdc1196ca4cc8748c7bd594de0cb972542e2f32533fc5ffed19a0605fab9b4167f366c2dd1668ddf8a74c6
104.225.216.235|29802|104.225.216.0/24|US|arin|2017-04-28|HVC-AS, US|t1XxgwRZbUHqR99df6tN6fhfzP9atq24saY|04978b6de25de64ad99c08bfea6fe90abf9ac1af2fab072011a1544dbe92a6deb1ff034c4f18c9665c438d048df6c0a050feaa2df8dc4dc4f0135bdca4186e272c
104.225.216.246|29802|104.225.216.0/24|US|arin|2017-04-28|HVC-AS, US|t1Wy4NrK4m9uNtmPe4F7FhCdAQSJADRDWKh|0430672b6dac21a2ada26685cc80f8401b845e72edff2de1ae096e6730f101d7829ce6aa845489c6fe4081c8733f812c84271694632d60fadc42bf51f664b012d3
104.225.217.130|29802|104.225.217.0/24|US|arin|2017-04-28|HVC-AS, US|t1REBWR6FeDab6xxqCWSNt2HoAXs2gRyqYN|04e5826b6f5474d64548bf33dbfe0172dd4a86a4f590a9970208b6e26c41ec935a2a33aea79f7d38c98d2948fb6137b39d1ca56699142975c55af4f122791a6a39
104.225.217.147|29802|104.225.217.0/24|US|arin|2017-04-28|HVC-AS, US|t1REBWR6FeDab6xxqCWSNt2HoAXs2gRyqYN|04717fad054f8fc676d1d3fd7a379a9488965bdb00703b3ccb9076204730ba7a1aace16215039fb4f3fa1a8f320620f05b866eb27d784e4cc2e831f80e9ab435fb
104.225.217.149|29802|104.225.217.0/24|US|arin|2017-04-28|HVC-AS, US|t1REBWR6FeDab6xxqCWSNt2HoAXs2gRyqYN|04c5b94c58e0119d3f5f46e214737c3f54dd7535705a8d8af2e888119ffb53ad8b58ddc843c301472c88ce550b59ec42bb1a0530fbbbf1954fed6f5ff8bc147617
104.225.217.2|29802|104.225.217.0/24|US|arin|2017-04-28|HVC-AS, US|t1REBWR6FeDab6xxqCWSNt2HoAXs2gRyqYN|043f3614bcf624c5ecf4af519f56fd42b34d3f473e995d50f516368a5da94c18077ca2ab81e75b04583ec24ea74b8f9b20a2df1e633ffa666695b2f31ef7ea57a5
104.225.217.232|29802|104.225.217.0/24|US|arin|2017-04-28|HVC-AS, US|t1XxgwRZbUHqR99df6tN6fhfzP9atq24saY|048514fbb7dd378efeb9b1c6ba648609ab93080a6671e6313f248354ef251a105d55e82fb6bd0d543785cf509eb96e35cd9903e63fc8aed16b32a310e44e39ec61
104.225.217.33|29802|104.225.217.0/24|US|arin|2017-04-28|HVC-AS, US|t1REBWR6FeDab6xxqCWSNt2HoAXs2gRyqYN|0499441377dfcd080446d36833dd07d7add3d44cf6467d0be6be4d5068ff3700a17de1439544c1ae829f9d40b031e73e9c3e9be66ce83287b756e7cf737f134d71
104.225.217.46|29802|104.225.217.0/24|US|arin|2017-04-28|HVC-AS, US|t1REBWR6FeDab6xxqCWSNt2HoAXs2gRyqYN|04aa703ecd870535082cd413fd6bbf121b690a8b535af16337e53e39ce01abed28ea149277ca3614523db1876cec6af6866c4f24747657af888dc75509c113a8d2
104.225.217.61|29802|104.225.217.0/24|US|arin|2017-04-28|HVC-AS, US|t1REBWR6FeDab6xxqCWSNt2HoAXs2gRyqYN|048f64f05b057381c702557a68e928e0c9c30255b10dc1070840362d7732e068e5879f9c6eca93d2adfe23c263e6643c034f1ca84f0ad5aafa3f409cf815746538
104.225.218.185|29802|104.225.218.0/24|US|arin|2017-04-28|HVC-AS, US|t1REBWR6FeDab6xxqCWSNt2HoAXs2gRyqYN|04f73e6315f06b88cabd727e3b705492a0807be711efc33dbb1c853b0b3ab96b5a356796ee7c26d7b9a7c20e88e7011472210231c55e81ba3101e807bf6b51a1b3
104.225.218.249|29802|104.225.218.0/24|US|arin|2017-04-28|HVC-AS, US|t1REBWR6FeDab6xxqCWSNt2HoAXs2gRyqYN|04625de98b0072efd740bca243c64444f8fb6d0da72cd781c17466c055bea26467a0cb9a43417fcd76ec2287e0cff928979df7e4702d9de911b2309fea1fa4e037
